"AM SE","AM IA","AM TW","AP SE","AP IA","AP TW","AC SE","AC IA","AC TW","M SE","M IA","M TW","M ORAL","BEE SE","BEE IA","BEETW","BEE ORAL","EVS SE","EVS IA","W TW","GPA"
"0068","0020","0025","0036","0015","0023","0040","0015","0022","0064","0019","0022","0020","0050","0018","0023","0015","0042","0014","0044","8.81"
"0044","0016","0018","0033","0011","0018","0033","00009","0021","0043","0015","0021","0021","0041","0010","0020","0016","0032","00009","0040","6.85"
"0059","0015","0023","0028","00008","0023","0024","0010","0021","0048","0012","0021","0021","0035","0014","0022","0016","0034","0014","0040","7.04"
"0054","0017","0019","0028","0011","0021","0032","0011","0020","0054","0015","0019","0023","0043","0018","0022","0015","0025","0010","0041","7.33"
"0045","0020","0024","0035","0015","0025","0047","0015","0022","0052","0019","0023","0019","0051","0020","0023","0021","0034","0014","0041","8.33"
"0033","0014","0022","0041","0011","0022","0038","0013","0020","0052","0014","0021","0022","0032","0016","0022","0022","0039","0015","0043","7.15"
"0039","0018","0024","0045","0014","0024","0043","0014","0022","0057","0016","0023","0022","0042","0020","0023","0021","0030","0014","0040","8.07"
"0038","0020","0024","0028","0013","0023","0045","0011","0020","0044","0018","0021","0021","0041","0018","0023","0021","0034","0013","0040","7.37"
"0045","0020","0023","0024","0013","0023","0025","0011","0022","0046","0016","0022","0022","0044","0017","0023","0018","0032","0010","0043","7.15"
"0039","0019","0024","0039","0015","0023","0039","0014","0024","0075","0018","0023","0020","0045","0020","0023","0022","0025","0014","0043","8.22"
"0070","0020","0023","0030","0014","0025","0042","0014","0024","0068","0020","0022","0023","0061","0019","0023","0023","0040","0014","0041","9.19"
"0053","0017","0022","0035","0013","0024","0038","0012","0022","0048","0016","0023","0022","0057","0020","0023","0021","0043","0011","0042","8.19"
"0059","0017","0023","0034","0013","0023","0027","0012","0023","0044","0016","0022","0018","0036","0017","0023","0015","0026","0011","0043","7.52"
"0032","0015","0024","0025","0010","0024","0032","0011","0021","0034","0012","0021","0020","0036","0017","0023","0016","0041","0013","0041","6.56"
"0041","0017","0024","0040","0013","0021","0045","0012","0022","0052","0016","0024","0019","0055","0019","0022","0018","0029","0012","0043","7.93"
"0042","0016","0024","0033","0013","0023","0042","0014","0022","0041","0017","0024","0018","0046","0018","0023","0016","0032","0012","0045","7.33"
"0032","0013","0018","0043","0011","0023","0042","0013","0021","0034","0011","0021","0020","0038","0018","0021","0015","0035","0011","0040","6.93"
"0050","0017","0024","0045","0014","0022","0038","0015","0022","0043","0016","0021","0015","0039","0015","0020","0021","0042","0012","0042","7.67"
"0044","0017","0023","0028","0011","0023","0035","0011","0022","0041","0014","0023","0017","0036","0015","0022","0018","0032","0011","0043","7.15"
"0065","0017","0020","0044","0014","0022","0041","0013","0023","0053","0017","0023","0022","0043","0019","0023","0023","0040","0015","0043","8.7"
"0033","0020","0020","0045","0015","0022","0041","0014","0024","0073","0018","0022","0021","0060","0017","0021","0023","0039","0012","0045","8.81"
"0049","0017","0023","0027","0015","0022","0043","0013","0022","0058","0017","0023","0022","0062","0020","0023","0021","0045","0013","0041","8.63"
"0047","0014","0021","0027","0014","0024","0031","0011","0022","0039","0016","0022","0020","0037","0018","0020","0019","0038","0011","0041","7.07"
